Column1;ISIN;Company_Name;Country;Component;FF Mcap (BEUR);Factset_sector;Sector;TR_16;TR_17;TR_18;TR_19;TR_20;ctp_16;ctp_17;ctp_18;ctp_19;ctp_20;ptx_inc_16;ptx_inc_17;ptx_inc_18;ptx_inc_19;ptx_inc_20;SUS_ENV;SUS_SOC;SUS_GOV;SUS_CARBON;FTSE_ESG;FTSE_ESG_DATE
651;US92276F1003;Ventas Inc.;US;Large;17;Finance;Real Estate;-5.994461296;-4.594893436;-10.6247241;-14.70284892;-28.00920351;#N/B;#N/B;#N/B;#N/B;#N/B;522.866;1301.423;376.038;382.987;344.651;11.91152838;4.033614;4.480820;400544;3.5;06/21/2021
652;BRB3SAACNOR6;B3 SA - Brasil Bolsa Balcao;BR;Large;17;Finance;#N/B;-16.00343342;17.82785637;10.70333721;18.76083667;24.75992952;#N/B;#N/B;#N/B;#N/B;593.509;1246.57;1576.544;2336.262;3335.896;5513.485;#N/B;#N/B;#N/B;#N/B;4.1;06/21/2021
653;US29364G1031;Entergy Corp.;US;Large;169;Utilities;Utilities;#N/B;56.05507876;#N/B;-15.6029066;-9.454638263;95.317;-13.375;19.825;-40.435;-31.228;-1381.762;967.923;-174.271;1088.419;1285.147;33.54478231;8.481176;6.524261;54400000;3.6;06/21/2021
654;JP3160400002;Eisai Co. Ltd.;JP;Large;169;Health Technology;#N/B;-9.056327145;26.74273427;29.13688267;25.67911999;4.369724276;7899;1543;13233;16568;19331;50473;57668;76803;89454;128063;30.61093;16.819711;11.679662;120563;3.5;06/21/2021
655;US7591EP1005;Regions Financial Corp.;US;Large;169;Finance;Financials;30.74162679;33.27956989;19.79539642;20.302267;16.74277017;314;181;57;85;132;1672;1860;1955;1985;1314;19.3970875;9.801000;7.837588;98353;4;06/21/2021
656;US1220171060;BURLINGTON STORES;US;Large;168;Retail Trade;#N/B;37.00413604;35.21451808;10.28672665;18.29037164;19.88010852;84.676;68.962;109.581;75.65;110.588;238.876;333.212;428.98;507.584;580.525;15.98626597;7.907810;4.836581;215729;3.8;06/21/2021
657;US2600031080;Dover Corp.;US;Large;168;Producer Manufacturing;Industrials;26.1760661;14.74649327;18.5052483;19.58353944;18.80439664;170.394;337.987;135.427;191.084;199.657;689.332;875.815;725.378;843.009;841.734;25.08995625;12.377269;5.590687;205809.96;3;06/21/2021
658;CA76131D1033;RESTAURANT BRANDS INTL;CA;Large;168;Consumer Services;#N/B;20.67650051;-12.26475718;17.5;23.66412214;7.719298246;211.0600585;259.8616254;561.2321109;329.0705752;358.1274093;1562.877872;1413.92242;1762.761364;1912.05927;1146.81249;23.04993063;11.638543;5.939044;125511.54;#N/B;#N/B
659;CH0114405324;Garmin Ltd.;US;Large;168;Electronic Technology;Consumer Discretionary;18.87591913;-1.712307642;15.68994482;3.518560162;10.06751797;111.273;102.34;61.47;154.223;128.237;629.67;697.071;823.247;987.222;1103.41;#N/B;#N/B;#N/B;#N/B;2.6;06/21/2021
660;KR7000270009;Kia Motors Corp;KR;Large;167;Consumer Durables;#N/B;19.97057554;15.09008792;21.29181749;34.80461206;19.87534544;753861;543497;244150;177306;282648;3442034;1140053;1468644;2023999;1779959;26.67555;11.249525;9.200625;1152000;3.6;06/21/2021
661;FR0011981968;WORLDLINE;FR;Large;167;Commercial Services;#N/B;26.2745098;24.85907554;24.42048518;18.02884615;23.4209313;39.1;44.1;49.9;57.4;93.1;204;177.4;185.5;416;216.9;#N/B;#N/B;#N/B;#N/B;4.1;06/21/2021
